WELL_ID,WELL_NAME,STATE,COUNTY,OPERATOR,HORIZ_VERT,RESERVOIR,FIRST_PROD_DATE,TVD,MD,SPUD_DATE,COMP_DATE,SPUD_TO_COMP,UPR_PERF,LWR_PERF,LAT_LENGTH
90000000000025,Coral Pawn,TX,REEVES,Slate King,H,WOLFCAMP,10/1/2020,11017,23464,5/1/2020,7/1/2020, 61 ,11338,23402,12064
90000000000071,Yellow Queen,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2021,10976,22056,6/1/2020,10/1/2021, 487 ,11412,21882,10470
90000000000019,Teal Queen,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2021,10864,22094,6/1/2020,10/1/2021, 487 ,11390,22010,10620
90000000000005,Slate Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2021,10418,18988,11/1/2020,5/1/2021, 181 ,11235,18825,7590
90000000000012,Coral Bishop,TX,REEVES,Gold Pawn,H,WOLFCAMP,9/1/2020,10416,23671,5/1/2020,10/1/2020, 153 ,10525,23465,12940
90000000000035,Orange Rook,TX,REEVES,Slate King,H,WOLFCAMP,4/1/2021,10772,21278,1/1/2021,5/1/2021, 120 ,10622,21201,10579
90000000000079,White Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2022,10425,22215,9/1/2021,5/1/2022, 242 ,10646,22126,11480
90000000000083,Green Queen,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2022,10401,21765,10/1/2021,5/1/2022, 212 ,10729,21677,10948
90000000000033,Amber Bishop,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2022,10571,22485,10/1/2021,5/1/2022, 212 ,10784,22396,11612
90000000000048,Cyan Bishop,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,10732,16376,11/1/2021,10/1/2022, 334 ,10999,16245,5246
90000000000088,Olive Knight,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,10847,17147,11/1/2021,10/1/2022, 334 ,11139,17024,5885
90000000000082,Maroon Bishop,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,10812,18233,12/1/2021,10/1/2022, 304 ,11022,18133,7111
90000000000026,Purple Pawn,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,10774,17721,11/1/2021,10/1/2022, 334 ,11049,17649,6600
90000000000006,Teal Rook,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,12012,18191,11/1/2021,10/1/2022, 334 ,11277,18093,6816
90000000000016,Teal Knight,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,11117,17750,11/1/2021,10/1/2022, 334 ,11415,17630,6215
90000000000058,Silver Rook,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2022,11139,18917,11/1/2021,10/1/2022, 334 ,11416,18845,7429
90000000000040,Amber Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2022,10609,22858,11/1/2021,5/1/2022, 181 ,11109,22765,11656
90000000000031,Orange Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,3/1/2023,10248,20592,6/1/2022,4/1/2023, 304 ,10662,20489,9827
90000000000011,Orange Queen,TX,REEVES,Gold Pawn,H,WOLFCAMP,3/1/2023,10222,21520,6/1/2022,4/1/2023, 304 ,10500,21401,10901
90000000000027,Coral Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,3/1/2023,10413,24490,6/1/2022,4/1/2023, 304 ,10609,24415,13806
90000000000053,Green Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,3/1/2023,10270,19668,5/1/2022,4/1/2023, 335 ,10658,19597,8939
90000000000001,Olive King,TX,REEVES,Gold Pawn,H,WOLFCAMP,9/1/2022,10258,20685,1/1/2022,10/1/2022, 273 ,11541,20597,9056
90000000000020,Indigo Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,9/1/2022,10375,20959,1/1/2022,10/1/2022, 273 ,10670,20873,10203
90000000000023,Black King,TX,REEVES,Gold Pawn,H,WOLFCAMP,9/1/2022,10304,20860,2/1/2022,10/1/2022, 242 ,10456,20774,10318
90000000000064,Ivory Queen,TX,WARD,Crimson Knight,H,WOLFCAMP,10/1/2022,11048,21160,4/1/2022,7/1/2022, 91 ,11245,21131,9886
90000000000087,Violet Rook,TX,WARD,Crimson Knight,H,WOLFCAMP,10/1/2022,10709,21101,4/1/2022,8/1/2022, 122 ,11193,21101,9908
90000000000049,Indigo Pawn,TX,WARD,Crimson Knight,H,WOLFCAMP,10/1/2022,10914,21300,4/1/2022,8/1/2022, 122 ,11391,21278,9887
90000000000003,Purple Rook,TX,WARD,Crimson Knight,H,WOLFCAMP,12/1/2023,11057,23745,10/1/2022,1/1/2024, 457 ,11264,23632,12368
90000000000068,Maroon Knight,TX,WARD,Crimson Knight,H,WOLFCAMP,12/1/2023,10827,22610,10/1/2022,1/1/2024, 457 ,11101,22406,11305
90000000000080,Olive Pawn,TX,WARD,Crimson Knight,H,WOLFCAMP,12/1/2023,11082,22928,10/1/2022,1/1/2024, 457 ,11472,22928,11456
90000000000007,Scarlet Queen,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10934,20705,12/1/2023,1/1/2024, 31 ,11780,20556,8776
90000000000044,Coral King,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10636,20350,12/1/2023,1/1/2024, 31 ,11203,20253,9050
90000000000030,Slate Bishop,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10955,20830,12/1/2023,2/1/2024, 62 ,11283,20730,9447
90000000000086,Violet Knight,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10708,20790,12/1/2023,3/1/2024, 91 ,11039,20688,9649
90000000000055,Bronze Queen,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10626,20961,11/1/2023,7/1/2024, 243 ,10812,20859,10047
90000000000021,Cyan King,TX,REEVES,Slate King,H,WOLFCAMP,6/1/2024,10974,21362,12/1/2023,4/1/2024, 122 ,11218,21264,10046
90000000000089,Azure Rook,TX,REEVES,Crimson Knight,H,WOLFCAMP,5/1/2024,10918,18507,12/1/2023,5/1/2024, 152 ,11071,18454,7383
90000000000078,White Bishop,TX,REEVES,Crimson Knight,H,WOLFCAMP,5/1/2024,10324,17930,12/1/2023,5/1/2024, 152 ,10396,17874,7478
90000000000046,Ivory King,TX,REEVES,Crimson Knight,H,WOLFCAMP,5/1/2024,10338,18077,12/1/2023,5/1/2024, 152 ,10634,18022,7388
90000000000076,Coral Queen,TX,REEVES,Crimson Knight,H,WOLFCAMP,5/1/2024,10538,18200,12/1/2023,5/1/2024, 152 ,10747,18129,7382
90000000000039,Red Rook,TX,REEVES,Crimson Knight,H,WOLFCAMP,5/1/2024,10936,18763,11/1/2023,5/1/2024, 182 ,11254,18710,7456
90000000000063,Slate Queen,TX,REEVES,Crimson Knight,H,WOLFCAMP,6/1/2024,9999,17781,2/1/2024,7/1/2024, 151 ,10272,17715,7443
90000000000084,Cyan Knight,TX,REEVES,Crimson Knight,H,WOLFCAMP,6/1/2024,10006,17874,2/1/2024,7/1/2024, 151 ,10327,17812,7485
90000000000059,Crimson Pawn,TX,REEVES,Crimson Knight,H,WOLFCAMP,3/1/2025,10866,20445,10/1/2024,11/1/2024, 31 ,11124,20373,9249
90000000000009,Blue Rook,TX,REEVES,Crimson Knight,H,3RD BONE SPRING,4/1/2025,10222,19900,10/1/2024,12/1/2024, 61 ,10538,19837,9299
90000000000024,Silver Knight,TX,REEVES,Crimson Knight,H,WOLFCAMP,3/1/2025,10210,19870,10/1/2024,1/1/2025, 92 ,10534,19796,9262
90000000000014,Maroon Pawn,TX,REEVES,Crimson Knight,H,WOLFCAMP,3/1/2025,10402,19988,10/1/2024,12/1/2024, 61 ,10644,19919,9275
90000000000060,Crimson Rook,TX,REEVES,Crimson Knight,H,WOLFCAMP,3/1/2025,10896,20651,10/1/2024,12/1/2024, 61 ,11268,20575,9307
90000000000066,White King,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11068,21995,6/1/2025,3/1/2026, 273 ,10921,21837,10916
90000000000052,Azure Bishop,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11459,28942,6/1/2025,3/1/2026, 273 ,11432,28890,17458
90000000000038,Yellow Rook,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11411,27322,6/1/2025,2/1/2026, 245 ,11396,27251,15855
90000000000028,Green Bishop,TX,REEVES,Crimson Knight,H,WOLFCAMP,12/1/2025,10318,18474,9/1/2025,12/1/2025, 91 ,10630,18165,7535
90000000000022,White Pawn,TX,REEVES,Crimson Knight,H,WOLFCAMP,12/1/2025,10468,18570,9/1/2025,12/1/2025, 91 ,10876,18514,7638
90000000000062,Cyan Rook,TX,REEVES,Crimson Knight,H,WOLFCAMP,12/1/2025,10911,18967,9/1/2025,12/1/2025, 91 ,11160,18906,7746
90000000000042,Red Pawn,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11046,19977,8/1/2025,2/1/2026, 184 ,11312,19834,8522
90000000000075,Purple Knight,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11607,22002,8/1/2025,2/1/2026, 184 ,11993,21858,9865
90000000000015,Gold Bishop,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11294,20830,9/1/2025,2/1/2026, 153 ,11557,20069,8512
90000000000057,Azure King,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11397,21323,9/1/2025,2/1/2026, 153 ,11722,21266,9544
90000000000008,White Knight,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,10988,20567,9/1/2025,2/1/2026, 153 ,11236,20495,9259
